gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
UGT1A6	NaN	NaN	NaN	318528	88452	1030680	1	1	0	4	7	3319764	5.781269e-01	1
FLVCR1	326908	445	13	327432	101976	445032	1	0	3	13	12	4675608	5.781668e-01	1
CD1C	120861	833	3	201936	55608	372708	1	1	0	1	2	865200	5.783876e-01	1
LPCAT2	119965	430	-29	330792	94332	619416	1	0	0	4	9	3729096	5.783989e-01	1
GPR128	342000	509	12	485184	133224	796320	1	0	1	7	10	5244876	5.784482e-01	1
EFHC1	396934	431	34	393372	103320	548604	1	1	1	37	42	20025096	5.786232e-01	1
CACNB4	279730	592	21	332136	90468	481320	1	1	3	9	16	4598664	5.786953e-01	1
ST8SIA2	288853	578	-30	225036	64260	258048	2	0	0	0	0	322308	5.787180e-01	1
DDX58	426359	362	-12	578844	138348	840420	2	1	1	20	33	14193228	5.787292e-01	1
ABCC4	200377	596	30	817992	226548	1368360	3	0	4	2	8	2768220	5.793599e-01	1
SH2D7	434458	271	63	266952	79800	78372	1	1	0	31	46	14793072	5.794147e-01	1
SPATA7	140042	800	-13	370692	94500	407988	1	1	0	17	33	14974680	5.794917e-01	1
GATAD2A	899226	214	6	372288	118104	545580	1	3	1	24	33	10815672	5.796767e-01	1
CAMK1D	326642	556	35	247716	62496	507276	1	0	0	0	0	569772	5.799085e-01	1
GP6	1125216	432	-26	377832	99204	227556	8	2	2	2	8	1100316	5.801641e-01	1
MSH6	488225	587	32	813624	225372	464940	1	1	0	6	6	2264640	5.802374e-01	1
VAV3	132139	554	-11	542220	131880	1162224	2	0	4	10	18	6843312	5.802866e-01	1
AVPI1	514755	143	54	87696	26208	61236	1	0	2	1	5	634872	5.803404e-01	1
BAZ1B	929895	162	48	907704	233352	1082844	1	1	0	2	4	2003988	5.803757e-01	1
WDR16	79661	336	-24	380184	102900	695520	1	0	0	1	0	872760	5.806169e-01	1
WRN	283981	708	2	897288	220332	1331820	1	1	3	8	19	5368692	5.808772e-01	1
HSD17B4	302141	472	27	456288	124068	1137024	1	1	1	13	13	7860552	5.812235e-01	1
ZIC4	20725	1070	-30	249144	72156	196560	1	1	1	22	32	9730224	5.812365e-01	1
FAM47A	7968	NaN	-15	457464	141792	32508	1	0	0	50	103	29817816	5.812865e-01	1
RUFY1	1583299	229	17	438228	114912	898128	2	1	5	0	6	1013040	5.813118e-01	1
CHRNB2	1896659	403	41	295764	89544	224532	1	2	0	36	52	13776924	5.817297e-01	1
PPP1R13B	712218	320	39	651840	189084	782712	3	1	3	4	17	5486292	5.819702e-01	1
OC90	100916	999	6	293916	80556	519624	2	1	3	15	25	4657128	5.820603e-01	1
TNKS1BP1	929334	250	-20	1002624	316344	639324	3	2	0	16	17	7209216	5.824832e-01	1
PLEKHA4	1766061	211	34	461916	146916	623196	3	1	2	8	19	4236204	5.827362e-01	1
ALDH6A1	495634	236	40	323484	93324	689976	1	0	4	36	70	19986120	5.827829e-01	1
RIN2	213905	508	0	535080	152880	225288	2	2	1	9	10	3324720	5.830195e-01	1
ACCSL	389604	680	1	350196	94080	750456	1	0	1	9	14	3993276	5.831330e-01	1
ZBTB2	337954	409	23	305256	86100	108612	2	1	0	1	4	579852	5.832477e-01	1
ABCG5	544941	480	35	389256	115752	435708	2	0	1	1	3	1198344	5.835995e-01	1
ANKRD53	380551	561	27	338688	100800	288540	1	2	0	22	37	15070524	5.837041e-01	1
ZNF425	605000	242	27	455196	117096	210924	1	0	0	33	70	20046936	5.838952e-01	1
ACLY	1857838	191	33	673260	188076	1436400	1	1	5	17	16	8408652	5.838973e-01	1
KIAA1279	860888	246	52	375312	100968	352800	1	0	1	17	24	9698724	5.843239e-01	1
ECT2	301474	239	11	549360	141624	956592	1	0	2	20	29	12361776	5.844763e-01	1
FNDC1	805575	596	23	1100148	354648	657216	3	2	0	2	7	3174864	5.845022e-01	1
PNMA3	265470	NaN	16	267624	83160	52416	1	0	1	5	8	3044496	5.846299e-01	1
SLC38A10	2679984	197	27	707868	223524	623448	3	0	0	0	0	846972	5.848318e-01	1
ZNF678	606105	575	-6	357672	84588	393876	1	0	1	14	24	9228072	5.849153e-01	1
PNLDC1	652619	453	26	329364	82656	1014552	1	3	4	2	12	1539216	5.849640e-01	1
BSN	1657622	271	40	2230032	748860	448308	6	2	0	8	11	4388160	5.852135e-01	1
MNS1	211810	681	12	319704	64344	477792	1	0	0	1	1	868308	5.854322e-01	1
FTSJD2	498007	434	43	520380	134820	1368612	1	3	1	14	30	15317988	5.854600e-01	1
MANSC1	698798	242	20	251496	78120	186984	1	2	0	9	12	3994284	5.857023e-01	1
ZFP161	52395	1017	-6	273336	68880	88956	1	0	1	7	15	3727332	5.857750e-01	1
CRELD1	950574	170	54	299964	78288	556668	1	1	1	5	10	2935212	5.858022e-01	1
LRRTM3	2412	967	-44	343140	98868	163800	1	1	0	13	15	4303572	5.861802e-01	1
HIRA	611613	300	1	615384	178416	1098468	2	1	4	0	5	1276884	5.862357e-01	1
NCK1	181954	195	20	229992	58800	285516	1	0	0	3	10	2762844	5.862458e-01	1
TGM6	611435	477	30	424872	122220	594216	1	1	1	17	22	8790768	5.866193e-01	1
BRWD1	383347	235	30	1480164	379092	1676808	9	0	4	0	4	2055900	5.867104e-01	1
EP400	408569	269	27	1850436	562968	2471616	3	4	3	7	27	10965696	5.868403e-01	1
TRIM24	272427	552	10	641592	171108	1140300	1	1	1	24	25	14178192	5.870922e-01	1
RNASE9	637784	493	22	130620	32172	49392	1	0	2	2	4	304752	5.874351e-01	1
CST9	189307	772	-47	97272	24696	103320	1	0	0	1	1	311892	5.876178e-01	1
SPP1	445914	367	8	196728	47460	250236	1	2	0	4	6	1587684	5.876462e-01	1
FLRT2	18925	671	-45	383628	116088	58212	2	1	0	2	2	516768	5.878673e-01	1
BAZ1A	615028	184	24	958020	245280	1188180	1	1	0	13	5	6793668	5.879166e-01	1
PTGER2	405022	533	18	203364	69048	83664	1	1	0	14	25	5402124	5.879302e-01	1
OR1F1	1493009	253	42	180516	55860	11592	1	1	0	4	11	2334192	5.879540e-01	1
SFRS6	316530	559	-45	204120	61740	293580	1	0	0	1	0	458724	5.883559e-01	1
ZFR	386475	357	27	647472	184884	896616	2	0	4	22	43	17190936	5.887123e-01	1
ENTPD7	422578	304	12	364896	104580	574056	1	0	0	1	1	1229004	5.889914e-01	1
PGM3	152280	734	8	333060	89544	587916	1	0	0	9	6	2993844	5.890981e-01	1
CLGN	134135	752	4	386400	89628	601272	1	0	0	2	0	866544	5.891221e-01	1
GRIK5	886688	438	31	579180	181104	495936	1	0	0	7	3	2701188	5.891333e-01	1
TNPO3	821362	361	52	563556	157164	1403892	1	1	0	1	1	1798776	5.892805e-01	1
ZNF628	1048909	399	24	589344	210000	0	1	1	0	31	54	20483652	5.892829e-01	1
CDH3	777628	299	24	498036	144564	896616	2	6	0	13	42	12555144	5.895262e-01	1
TMEM145	792230	218	42	298956	89124	502236	1	1	0	4	12	2534448	5.897387e-01	1
VGF	1022626	258	39	348348	118356	14868	1	1	0	11	13	4524324	5.900106e-01	1
CSF2RB	750264	469	44	527688	163296	439236	3	3	3	7	12	3049620	5.900998e-01	1
EPHB3	1325702	411	47	592368	177996	547848	1	1	1	43	68	24201660	5.901864e-01	1
ZNF639	410660	641	2	302652	68796	140364	3	0	0	3	1	459480	5.904890e-01	1
EIF4E	225403	415	11	172536	43428	252252	1	1	1	2	3	881244	5.906615e-01	1
ZNF451	372718	348	26	659484	157500	638064	1	2	0	48	76	29948268	5.906814e-01	1
CD97	996589	183	32	508368	142800	730800	1	0	2	21	17	9471504	5.907377e-01	1
PTPN22	326668	406	15	508284	128016	901656	1	0	0	1	0	1134504	5.908461e-01	1
PGBD1	273319	502	35	492324	127092	319788	1	2	0	50	62	24243240	5.909070e-01	1
LIMD1	340032	231	45	397992	121380	510300	1	2	1	50	73	23840880	5.910181e-01	1
PNPLA5	157623	473	13	256872	76272	230580	5	0	5	2	6	640500	5.911613e-01	1
ATP1A1	616485	464	18	625800	174048	1221192	1	0	0	0	0	1395240	5.912546e-01	1
TAS2R60	371260	379	1	184716	56196	43596	3	1	0	1	1	186564	5.914441e-01	1
NLRP12	783610	486	-58	647136	189504	415800	2	2	1	32	66	18177432	5.915078e-01	1
FAM71A	409070	224	26	343980	105840	34776	1	0	0	46	73	28808304	5.915871e-01	1
SCNN1A	2670962	198	46	441336	125664	469980	2	0	1	0	1	595644	5.916899e-01	1
GLB1L	694442	193	44	398328	112980	881244	1	0	0	3	5	3109932	5.917584e-01	1
CHST2	319752	591	25	297360	104076	4536	1	0	1	2	4	1562736	5.918534e-01	1
SDK1	48060	954	-23	1317876	400260	2186604	6	3	4	7	12	4519032	5.923985e-01	1
ZNF707	2198262	229	33	223608	61656	114660	1	1	0	13	27	5481672	5.926403e-01	1
HDAC1	1427362	210	43	305340	73416	604548	1	0	0	0	0	677964	5.927583e-01	1
TBC1D24	2085452	321	49	328608	95256	289800	2	1	2	5	5	1487220	5.929843e-01	1
HMX3	237830	708	23	202020	69384	3528	1	1	0	3	7	1255044	5.930956e-01	1
PAPLN	525540	269	45	751128	220584	954576	2	2	4	31	49	16149588	5.931361e-01	1
BFSP1	552334	239	-23	395052	117012	411516	1	2	0	50	75	29296512	5.933569e-01	1
GUSB	434728	365	31	392784	111216	507024	1	0	2	6	7	3495240	5.936247e-01	1
DUSP16	748543	157	30	394968	113568	327348	1	0	0	2	2	1496376	5.936254e-01	1
PPP1R12B	770535	377	32	646128	177912	1647828	1	0	2	1	2	2651796	5.941148e-01	1
RBM38	181292	604	9	94080	30156	126252	1	0	2	1	5	655956	5.941368e-01	1
AKAP8	494792	481	28	424032	113484	580356	1	0	1	12	17	8929872	5.942254e-01	1
HAO2	409405	720	3	211848	61320	440244	1	4	0	6	8	2084796	5.942282e-01	1
PCDP1	309897	441	17	348852	86856	713160	1	0	1	4	10	4099956	5.943036e-01	1
SPAM1	87688	541	-19	317688	84756	137340	1	0	1	50	81	25319112	5.943644e-01	1
PLG	181774	624	-9	500304	131460	1093932	2	1	3	2	4	1854048	5.944381e-01	1
TNFRSF21	206419	389	1	385896	115080	195552	1	0	0	50	91	34436220	5.945063e-01	1
OR4D6	430021	507	-1	181860	56028	36036	3	0	0	3	1	313824	5.946421e-01	1
PDE6B	639827	489	12	531048	137004	938700	1	3	1	50	66	30039576	5.948107e-01	1
FPGS	1194942	179	58	349692	109452	367920	1	1	2	19	45	12565896	5.948681e-01	1
RBP3	117080	445	21	709380	237132	163296	2	0	0	4	2	1583904	5.948904e-01	1
HAGHL	1207790	194	33	208488	60648	228312	2	5	0	5	13	1378608	5.949992e-01	1
FNBP1L	621313	224	2	389088	89712	222264	1	0	2	41	73	22173480	5.952775e-01	1
RENBP	2355024	NaN	25	261996	72156	331128	2	0	2	5	31	4623948	5.953963e-01	1
EXTL1	748547	221	31	395136	126756	414792	2	1	2	3	5	2011968	5.954091e-01	1
PKD2L1	1071291	198	56	488964	135492	870912	1	1	2	11	10	6480432	5.954672e-01	1
CAPN7	511283	367	30	507276	128268	894600	1	0	0	2	3	2798712	5.955758e-01	1
CR1	442029	361	18	1522668	406140	1286964	1	0	1	6	1	5036052	5.956331e-01	1
OR51G1	65798	1006	-15	184632	58296	31500	2	2	0	7	5	901992	5.956626e-01	1
TMEM48	535585	319	24	415632	111804	865620	1	0	1	12	11	5262516	5.957045e-01	1
ZNF443	1754294	593	0	412020	99036	194796	1	0	0	15	23	9924936	5.959253e-01	1
MAP3K8	81826	185	39	283500	77364	345240	1	0	0	1	1	936600	5.960400e-01	1
C20orf96	1010597	348	24	229740	55524	462168	2	1	0	1	2	669984	5.961983e-01	1
TFR2	1884430	247	60	476952	147000	616896	1	0	0	3	5	2353260	5.963062e-01	1
GTSE1	506667	205	35	433272	137256	523152	1	0	0	7	18	7313712	5.963527e-01	1
SLC23A1	832127	177	48	359184	111300	426888	1	1	2	36	66	20226276	5.965367e-01	1
ITGA5	653663	190	42	634788	188748	1206072	1	0	0	0	0	1394820	5.965690e-01	1
TRRAP	1040178	470	42	2320416	646380	3824352	5	2	7	5	17	9595404	5.966727e-01	1
MAP3K5	329812	448	31	844956	223776	1423296	2	2	2	4	9	3533124	5.969577e-01	1
SEPSECS	338354	506	32	306264	83328	422856	1	0	0	2	1	852432	5.972017e-01	1
WDR26	519341	256	18	400848	112728	599760	2	0	1	0	1	712488	5.974799e-01	1
BIN2	499804	194	37	344988	95508	772884	2	1	2	3	6	1361976	5.975657e-01	1
USP8	325514	203	30	686952	178164	964152	2	0	1	3	5	2496396	5.978492e-01	1
SIGLEC1	942842	353	32	983052	329868	677880	11	3	3	1	8	1612548	5.980292e-01	1
AASDH	639545	594	5	663012	181944	585396	3	0	0	0	0	767340	5.980373e-01	1
EEF2	2173603	207	30	516180	147840	477288	1	0	0	2	0	1128204	5.985062e-01	1
CCNB3	45831	NaN	1	844536	221928	426132	1	1	2	50	61	26047056	5.989332e-01	1
ADAMTS4	728669	234	37	484176	157416	469980	2	1	3	27	52	14615664	5.989827e-01	1
MORC2	763716	303	37	593208	164052	1042272	1	0	1	7	5	4079964	5.991588e-01	1
GPRIN3	108672	672	-1	448728	138684	64764	1	0	0	50	81	27111000	5.992024e-01	1
MLL	1338034	192	49	2345616	691488	1765260	5	0	1	0	1	2456748	5.994510e-01	1
CTTNBP2	96915	674	-11	997752	282912	1118628	3	1	3	8	13	3718260	5.996504e-01	1
DPP8	620582	187	39	557424	142380	1112328	1	0	1	5	5	3430224	5.996718e-01	1
TDRD6	141781	596	1	1242948	345408	221256	5	2	1	48	78	25184292	6.000854e-01	1
TESK1	1202125	248	37	358260	124824	366660	1	0	0	8	10	4144392	6.001434e-01	1
NBEAL2	537135	371	45	1613724	522480	825804	7	1	3	50	62	24529092	6.002908e-01	1
CLDN23	174979	307	34	165144	56364	7560	1	0	1	2	8	1597596	6.005392e-01	1
CSNK1G1	743794	263	43	261828	68040	521892	1	0	0	2	2	1139544	6.006067e-01	1
DNAH5	148607	674	-17	2831808	743820	4045608	9	7	10	41	82	31701432	6.009024e-01	1
DNAJC1	197451	608	2	338520	92148	528948	1	0	2	31	56	18535692	6.011775e-01	1
SLC8A2	797690	276	38	535248	170856	288036	2	0	0	9	13	4280724	6.016317e-01	1
GARNL3	673881	270	47	623616	170184	1655640	1	1	1	7	7	4823616	6.017819e-01	1
KDM4B	993857	258	26	658896	191604	668808	1	2	2	50	73	26782980	6.019831e-01	1
PRG4	265627	419	-24	812700	262080	738612	2	0	2	15	27	10273536	6.020013e-01	1
OAS3	613755	433	38	646632	191520	465696	1	1	2	7	8	4140612	6.020051e-01	1
FNDC3A	321392	424	47	735924	198492	1351728	4	0	5	0	5	1550220	6.020693e-01	1
MGAT5B	1010920	228	17	496440	142884	701064	4	6	1	3	7	1596084	6.023421e-01	1
ULK1	374096	180	23	626640	195132	883764	3	1	5	2	6	1820112	6.024373e-01	1
NXF1	2405109	248	44	395556	106680	853020	1	0	2	8	9	4713408	6.025468e-01	1
ACAD11	210777	598	19	481992	127596	914256	1	0	0	0	0	1041852	6.025638e-01	1
TMPRSS11F	211571	812	-6	270396	71064	713916	1	0	1	0	1	784980	6.026560e-01	1
ADCY4	906124	173	39	641172	198996	990864	1	1	1	28	31	19964028	6.026981e-01	1
FARSB	267637	308	18	365148	97524	922572	1	0	1	1	1	1123500	6.027091e-01	1
HOMEZ	1171456	330	20	321216	96348	0	1	0	0	50	80	24712212	6.029663e-01	1
FZD5	335586	341	26	333144	109872	44352	1	1	0	3	9	2321172	6.032421e-01	1
UHRF1BP1	1047481	242	24	864864	244692	1056132	3	1	0	0	1	1300824	6.033689e-01	1
PHIP	209556	739	0	1123668	293076	1649592	3	1	3	25	39	15182076	6.033910e-01	1
CCDC109B	211934	479	26	207648	54180	393624	1	0	0	0	0	447804	6.034105e-01	1
CHST3	762207	169	54	277620	86268	71064	1	0	1	45	69	21307692	6.034684e-01	1
PARP6	1129780	260	47	394464	103740	1120644	1	0	2	0	2	1224384	6.036626e-01	1
TRIM3	424837	471	17	439404	134904	531972	1	2	1	40	51	20299692	6.037344e-01	1
TNRC6C	620383	217	26	1023540	302484	516852	7	3	0	0	3	819336	6.040945e-01	1
MAGEB3	74310	NaN	16	207564	55776	18144	2	1	0	4	5	946344	6.045590e-01	1
LRP12	36110	1085	15	515256	140952	358344	1	0	0	8	6	3400572	6.047043e-01	1
P4HA1	539936	354	44	348264	89208	768600	1	0	1	2	4	2033808	6.050512e-01	1
PTBP2	334207	676	-16	324828	90468	606564	1	0	0	0	0	697032	6.052310e-01	1
HAUS6	500417	324	-17	591276	147588	652680	4	6	1	3	9	1699824	6.053010e-01	1
DMP1	500313	623	-7	320628	72996	273924	2	2	2	1	7	664860	6.055963e-01	1
ZHX3	383198	262	7	560952	163548	86940	3	2	1	5	6	1828932	6.058365e-01	1
LRP5	830388	241	53	962472	281904	844956	2	3	0	8	6	4079124	6.060620e-01	1
DTX3L	410045	404	35	447552	118188	194040	1	1	0	38	50	21691824	6.061108e-01	1
FASTKD1	358154	404	30	520380	134316	695772	1	1	1	50	63	31491768	6.061317e-01	1
AGTPBP1	227838	613	9	733992	188580	854028	1	0	3	50	74	31395000	6.063009e-01	1
HYOU1	1390854	195	58	610932	170268	1038492	1	1	2	34	31	18836160	6.063442e-01	1
PLA2G4F	655295	394	36	511140	151116	739368	1	1	1	50	71	30090480	6.064978e-01	1
TRMT2A	545126	218	57	370860	114492	366660	1	0	2	50	94	23522772	6.065632e-01	1
VPS8	1340797	626	37	900900	225792	1284696	3	2	3	50	82	28753368	6.065766e-01	1
NAGK	367824	470	34	236376	68292	295092	1	0	0	1	0	505176	6.067138e-01	1
TNRC6A	291928	342	19	1185156	323064	1301328	2	1	2	2	3	1939308	6.068385e-01	1
ITGB1	390742	205	-15	547932	130704	892332	1	0	0	5	4	2870700	6.070073e-01	1
AP3B2	509813	608	16	638736	186060	847224	1	1	0	5	7	4871244	6.071153e-01	1
DYNC2LI1	544941	480	35	245700	59976	586908	1	0	2	1	3	1198344	6.076180e-01	1
EPHB6	284406	645	18	599256	189252	661248	1	1	0	14	12	6647424	6.076497e-01	1
ILVBL	703673	419	1	372876	120792	405972	3	2	3	3	8	1391964	6.076966e-01	1
KDM6A	59340	NaN	36	857388	230748	970704	1	0	1	0	1	1201452	6.077978e-01	1
IGDCC4	642731	280	45	730128	234780	705852	2	2	1	2	4	2166360	6.078302e-01	1
ABI1	342602	447	30	316764	92988	615636	1	0	2	20	37	11481540	6.078305e-01	1
RAE1	181292	604	9	232512	57540	442008	1	1	2	8	13	3277848	6.078407e-01	1
ALDH1L1	203027	610	30	548436	156408	957348	5	2	8	0	10	1113756	6.078569e-01	1
TIPIN	505508	307	46	188412	46956	361368	1	0	2	3	7	1610700	6.084148e-01	1
ANKRD26	390573	459	24	1075536	251244	1337616	2	0	3	22	34	19692456	6.084250e-01	1
DCST2	1654795	214	40	459984	140784	804384	2	3	0	7	11	3735228	6.084457e-01	1
GAS2L2	675201	196	3	506604	164976	262080	2	0	0	2	0	675276	6.085250e-01	1
PSMD3	1652518	216	28	323064	92484	485604	1	1	1	1	4	718284	6.085853e-01	1
RANBP2	365106	418	20	1949556	516768	1506960	2	0	0	2	1	3345048	6.086839e-01	1
STRBP	341358	431	29	411600	113316	761544	1	0	0	0	0	874860	6.087172e-01	1
PYROXD1	500770	836	-29	311304	78540	583128	1	0	0	0	0	661668	6.087234e-01	1
BSG	1647685	255	-8	239736	69216	273924	1	2	2	12	25	3907176	6.088486e-01	1
PBX1	61567	624	-24	262668	71232	388584	1	1	0	1	1	837312	6.091213e-01	1
MGAT1	830596	566	25	254604	82572	49392	1	0	0	50	96	26557188	6.091734e-01	1
ALPK3	351352	213	28	1098216	357336	610848	6	3	0	1	4	1119216	6.092692e-01	1
PDE3B	364855	539	-14	666540	190008	873180	1	1	2	30	42	17481744	6.092951e-01	1
CCDC48	1155221	379	52	344904	114996	226296	1	0	1	50	77	25121460	6.094831e-01	1
NGFR	971109	303	31	251328	77280	213192	1	2	0	5	19	4101972	6.095883e-01	1
SNRK	153482	399	30	454020	129108	258300	1	0	0	50	79	33892152	6.096073e-01	1
SPZ1	316792	617	34	263004	62832	55440	1	1	0	15	20	6149808	6.096148e-01	1
PSAP	765338	182	40	328440	85596	653436	1	0	3	9	15	5209848	6.097160e-01	1
C13orf23	165959	998	5	537096	189420	702576	2	2	0	3	3	1930572	6.098237e-01	1
TGM4	466410	380	31	420168	111300	895608	1	0	1	9	14	7138572	6.099243e-01	1
STT3B	270559	511	-4	506184	133644	664524	1	1	0	13	18	7872396	6.099282e-01	1
PITX3	1020192	169	44	173292	58800	39816	1	1	0	2	2	609756	6.100213e-01	1
EFCAB1	16699	533	-28	135240	31080	240408	1	0	6	8	8	1275120	6.100277e-01	1
POF1B	105434	NaN	-3	372120	90048	587412	1	1	3	5	26	8029056	6.101558e-01	1
INTS2	350722	380	2	735084	200592	700812	1	0	0	1	1	1091832	6.102749e-01	1
DMGDH	215159	434	45	524412	146664	988344	1	3	0	4	6	3979752	6.103061e-01	1
CREB3L4	2028800	222	34	238056	70392	334656	2	2	1	0	3	405048	6.105907e-01	1
STAB2	907417	599	10	1578360	419496	3765132	5	4	8	3	12	4436880	6.106218e-01	1
KCTD8	73476	1109	-10	276276	83076	59472	1	2	0	12	13	3394356	6.111006e-01	1
COL9A1	126322	633	5	574644	178332	1543248	2	1	4	1	6	1833552	6.112195e-01	1
MAGED2	257482	NaN	20	364392	106596	446292	1	1	1	14	25	7288932	6.113479e-01	1
CP110	349996	491	21	608244	154812	654192	1	1	1	50	69	34387836	6.114305e-01	1
CACNA2D2	639042	259	57	716856	193620	1077552	2	2	6	5	12	2563176	6.115755e-01	1
C1QL2	169866	574	10	164640	54096	63504	1	2	0	2	3	722316	6.119126e-01	1
EYA4	97438	409	-8	418824	110628	994140	1	1	0	1	2	1465884	6.120087e-01	1
RNF157	1737490	208	23	416556	116172	1262016	1	1	2	4	19	5288472	6.120245e-01	1
CENPJ	481837	639	18	824712	203700	727020	1	1	1	46	50	24252480	6.120300e-01	1
SYCP1	601139	601	2	630924	138936	808416	2	0	1	1	1	1088724	6.120778e-01	1
BRIP1	326357	412	-9	765240	198912	987840	3	0	1	1	2	1364412	6.122009e-01	1
PLEC	2478735	247	25	2840628	908628	815220	11	3	6	6	27	5693100	6.122847e-01	1
SLC2A11	643596	182	57	309792	97692	463176	1	0	2	50	90	26065620	6.123016e-01	1
FRMPD2	112127	451	35	794220	224364	1254708	3	0	2	0	2	1479072	6.123184e-01	1
RGL3	1255985	265	32	427812	132888	773136	1	0	1	4	5	3156300	6.124974e-01	1
IL1RL1	240161	588	9	344988	88956	484596	1	1	0	50	81	30198924	6.125300e-01	1
MPP5	483147	260	32	418404	104748	533232	1	0	1	12	24	6454056	6.125861e-01	1
CDC14B	351543	349	27	321552	81648	682668	1	1	3	15	27	9831360	6.126063e-01	1
WRAP53	2068255	213	31	328692	97692	359856	1	1	0	0	1	457548	6.126673e-01	1
ADAMTS14	546305	566	37	735000	213780	812448	2	1	1	5	7	3955308	6.126910e-01	1
ANPEP	934542	212	37	588000	162960	904428	2	1	2	2	10	3315732	6.127765e-01	1
SART1	3854361	208	57	485436	139776	561960	3	1	5	8	13	2802324	6.128441e-01	1
KIAA0319	417813	373	19	653436	185472	1292508	2	1	3	2	4	2305632	6.129726e-01	1
KDM5B	463071	378	35	940296	253932	1531656	5	3	7	2	11	3125304	6.129960e-01	1
WDR27	197890	593	-17	522648	150192	614376	4	1	8	1	13	1451856	6.133544e-01	1
SLC9A11	426813	335	9	704172	173544	1349460	2	2	4	0	6	1523004	6.135177e-01	1
FARP1	494775	574	35	687540	185136	1404144	2	3	2	31	45	17550120	6.135393e-01	1
ATRN	971216	421	27	885108	230244	1784916	3	0	7	0	7	2015160	6.136990e-01	1
BCL6	88374	374	24	423948	118608	353556	1	0	0	21	27	11266836	6.139397e-01	1
WWP2	1410481	NaN	42	536172	145992	1166256	1	0	3	5	5	3940020	6.139605e-01	1
TCHP	927742	323	37	312816	76020	479808	2	0	1	0	1	555828	6.141552e-01	1
SLC30A9	270740	261	28	352548	94752	1078056	1	2	0	2	5	1664880	6.143409e-01	1
EFTUD2	1101543	172	28	600768	162036	1580040	1	0	2	3	3	2618532	6.143572e-01	1
CDH8	3859	1301	-48	480648	134232	561456	1	0	0	3	2	1432368	6.146968e-01	1
MPP6	254420	405	18	333396	86688	560196	1	2	0	13	24	6612396	6.147294e-01	1
GNL3L	302365	NaN	31	361116	94752	470484	1	1	0	1	3	1518300	6.151049e-01	1
SARS	1000045	287	32	316092	83832	623448	1	0	0	5	12	4082064	6.152383e-01	1
NUDT7	79181	1194	-24	143304	40908	183960	1	0	0	1	0	299208	6.152514e-01	1
OSBP2	752472	303	37	546420	159936	656712	1	2	2	40	66	21707532	6.155180e-01	1
SMCR8	957114	254	9	553392	156744	144144	2	2	0	2	3	1280664	6.155667e-01	1
HIBCH	499049	471	24	245196	60480	583380	1	0	3	1	3	1065120	6.156190e-01	1
DISC1	236101	622	-3	689388	177492	553644	5	1	0	0	1	731136	6.156543e-01	1
SLC4A9	683517	143	39	568260	179172	558684	1	0	1	34	49	18127368	6.158136e-01	1
SPOCK1	216344	646	26	274008	68208	502992	1	0	0	0	0	571200	6.158342e-01	1
IGF1R	203046	470	-27	829752	225120	969696	4	2	4	2	9	2697828	6.158796e-01	1
COL17A1	455010	271	19	913836	274092	2656332	2	0	9	36	45	20828304	6.159458e-01	1
CPA5	422275	212	28	279132	63336	457632	1	1	2	10	23	7288428	6.160477e-01	1
ZBTB16	162787	529	-6	403956	111636	244188	1	1	0	50	107	30669156	6.162368e-01	1
POLD2	1151124	282	56	281232	84672	330876	1	1	0	4	9	1985676	6.163036e-01	1
ZFHX4	72333	731	8	2147964	596568	181440	17	3	1	2	4	1074192	6.163064e-01	1
DCP1B	232517	618	29	368424	107352	483588	1	0	3	7	3	1754256	6.164670e-01	1
LMO7	197158	342	46	1054116	267876	1360800	2	1	1	0	2	1628676	6.165135e-01	1
INPP5F	656842	199	43	695520	180180	939456	2	1	3	2	5	2491608	6.166334e-01	1
CES2	942986	142	34	373296	109536	611352	1	0	1	20	37	15168300	6.169815e-01	1
C17orf104	1297937	254	27	575820	151704	25704	2	1	0	50	94	23549064	6.170142e-01	1
OSBPL5	513529	333	53	532224	154224	458388	1	0	0	30	42	16425024	6.170886e-01	1
ERCC6	NaN	NaN	NaN	904680	244944	1109052	3	1	1	4	8	3554628	6.173337e-01	1
WDR44	131060	NaN	25	562044	148092	1139292	1	2	3	32	38	16869888	6.180604e-01	1
MICALCL	445785	318	-1	412440	121800	347004	1	0	0	42	65	28698180	6.181904e-01	1
SIGLEC5	443199	644	-23	326844	98532	346752	1	2	0	50	55	19344948	6.182373e-01	1
PLIN4	2111443	278	43	761124	270564	42840	3	1	1	17	20	6723696	6.182695e-01	1
MAP3K11	3945819	202	45	487620	162540	312732	1	2	0	50	81	22161468	6.183941e-01	1
RTP4	377182	466	33	147588	40656	67032	6	3	0	1	3	249480	6.184025e-01	1
C9orf98	1939494	575	33	295512	79464	432684	1	0	0	4	9	2449356	6.184556e-01	1
ZNF560	557413	642	-52	485352	120708	405972	1	0	1	50	65	25432260	6.185186e-01	1
PLEKHG6	2670962	198	46	473424	150780	474012	8	4	5	0	9	624792	6.186112e-01	1
PITRM1	266524	438	16	642684	168756	841932	2	5	1	8	21	5950392	6.186675e-01	1
SLC22A11	1970283	411	54	322056	103572	427392	1	0	0	4	7	2676744	6.188257e-01	1
OGT	749568	NaN	26	640416	172284	752976	2	1	1	2	3	1619016	6.190231e-01	1
